,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
73,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1337634817879427,Adaptive Biweight with first width 1680.0
74,8400.0,0,0,50,beta,420.0,100,2.0,1.8727561324541149,Adaptive Biweight with first width 1680.0
75,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10893087963384908,Adaptive Biweight with first width 1680.0
76,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2414222519361255,Adaptive Biweight with first width 1680.0
77,8400.0,0,0,50,beta,420.0,100,2.0,1.736790141592273,Adaptive Biweight with first width 1680.0
78,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10716116172086672,Adaptive Biweight with first width 1680.0
79,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2834578897007012,Adaptive Biweight with first width 1680.0
80,8400.0,0,0,50,beta,420.0,100,2.0,1.8874219052452768,Adaptive Biweight with first width 1680.0
81,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11452441151905712,Adaptive Biweight with first width 1680.0
82,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2526644662464852,Adaptive Biweight with first width 1680.0
83,8400.0,0,0,50,beta,420.0,100,2.0,1.9781403832116813,Adaptive Biweight with first width 1680.0
84,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.13048543041794142,Adaptive Biweight with first width 1680.0
85,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.965958392831182,Adaptive Biweight with first width 1680.0
86,8400.0,0,0,50,beta,420.0,100,2.0,2.8341735109905097,Adaptive Biweight with first width 1680.0
87,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10774376577894304,Adaptive Biweight with first width 1680.0
88,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2913693527436323,Adaptive Biweight with first width 1680.0
89,8400.0,0,0,50,beta,420.0,100,2.0,1.9156009592871737,Adaptive Biweight with first width 1680.0
90,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.0980856173554851,Adaptive Biweight with first width 1680.0
91,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3265069086180818,Adaptive Biweight with first width 1680.0
92,8400.0,0,0,50,beta,420.0,100,2.0,2.049303856806329,Adaptive Biweight with first width 1680.0
93,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12996512320332113,Adaptive Biweight with first width 1680.0
94,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2825012513014635,Adaptive Biweight with first width 1680.0
95,8400.0,0,0,50,beta,420.0,100,2.0,2.7306499868634444,Adaptive Biweight with first width 1680.0
96,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.1042841892697952,Adaptive Biweight with first width 1680.0
97,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1603558986128968,Adaptive Biweight with first width 1680.0
98,8400.0,0,0,50,beta,420.0,100,2.0,1.708265250993653,Adaptive Biweight with first width 1680.0
99,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12828861091376767,Adaptive Biweight with first width 1680.0
100,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.9711264236959946,Adaptive Biweight with first width 1680.0
101,8400.0,0,0,50,beta,420.0,100,2.0,2.282944208025602,Adaptive Biweight with first width 1680.0
102,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.12485172260722015,Adaptive Biweight with first width 1680.0
103,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1897641663287783,Adaptive Biweight with first width 1680.0
104,8400.0,0,0,50,beta,420.0,100,2.0,2.5650179306566936,Adaptive Biweight with first width 1680.0
105,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.11976834674680226,Adaptive Biweight with first width 1680.0
106,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.25441922241455,Adaptive Biweight with first width 1680.0
107,8400.0,0,0,50,beta,420.0,100,2.0,2.3238946988058427,Adaptive Biweight with first width 1680.0
108,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.16100634889534884,Adaptive Biweight with first width 1680.0
109,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3762296714301734,Adaptive Biweight with first width 1680.0
110,8400.0,0,0,50,beta,420.0,100,2.0,2.0794343912401385,Adaptive Biweight with first width 1680.0
111,8400.0,0,0,50,nu,420.0,100,0.11482352941176473,0.10239586755774603,Adaptive Biweight with first width 1680.0
112,8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.5794486448869554,Adaptive Biweight with first width 1680.0
113,8400.0,0,0,50,beta,420.0,100,2.0,2.291865879893693,Adaptive Biweight with first width 1680.0
