,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
133,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3132340140477812,Adaptive Biweight with first width 2400.0
134,12000.0,0,0,50,beta,600.0,100,2.0,2.0435924339899745,Adaptive Biweight with first width 2400.0
135,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20883028431609515,Adaptive Biweight with first width 2400.0
136,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.4557055286936584,Adaptive Biweight with first width 2400.0
137,12000.0,0,0,50,beta,600.0,100,2.0,2.163902669188333,Adaptive Biweight with first width 2400.0
138,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.21172120258827848,Adaptive Biweight with first width 2400.0
139,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.1063057973461952,Adaptive Biweight with first width 2400.0
140,12000.0,0,0,50,beta,600.0,100,2.0,1.771275122069341,Adaptive Biweight with first width 2400.0
141,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2360119003269205,Adaptive Biweight with first width 2400.0
142,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.287251421033636,Adaptive Biweight with first width 2400.0
143,12000.0,0,0,50,beta,600.0,100,2.0,2.103019660693441,Adaptive Biweight with first width 2400.0
144,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.20428314285679772,Adaptive Biweight with first width 2400.0
145,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.222967737234917,Adaptive Biweight with first width 2400.0
146,12000.0,0,0,50,beta,600.0,100,2.0,1.8499527504390876,Adaptive Biweight with first width 2400.0
147,12000.0,0,0,50,nu,600.0,100,0.20991735537190084,0.2364923138671935,Adaptive Biweight with first width 2400.0
148,12000.0,0,0,50,alpha,600.0,100,1.2396694214876032,1.3796750388679375,Adaptive Biweight with first width 2400.0
149,12000.0,0,0,50,beta,600.0,100,2.0,2.075570968085217,Adaptive Biweight with first width 2400.0
150,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2409091527414829,Adaptive Biweight with first width 2400.0
151,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.317201022970615,Adaptive Biweight with first width 2400.0
152,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0937001022103447,Adaptive Biweight with first width 2400.0
153,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2536261879374435,Adaptive Biweight with first width 2400.0
154,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3860553403208251,Adaptive Biweight with first width 2400.0
155,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.151242157216663,Adaptive Biweight with first width 2400.0
156,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2389183277719916,Adaptive Biweight with first width 2400.0
157,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.1759929654065768,Adaptive Biweight with first width 2400.0
158,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.8857475735868847,Adaptive Biweight with first width 2400.0
159,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.23197309446097156,Adaptive Biweight with first width 2400.0
160,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.4287977548120518,Adaptive Biweight with first width 2400.0
161,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.094927925803906,Adaptive Biweight with first width 2400.0
162,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.20318501058315044,Adaptive Biweight with first width 2400.0
163,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.345639485973592,Adaptive Biweight with first width 2400.0
164,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0273620883236405,Adaptive Biweight with first width 2400.0
165,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.22191313127815732,Adaptive Biweight with first width 2400.0
166,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.3037395518007726,Adaptive Biweight with first width 2400.0
167,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.058111711614497,Adaptive Biweight with first width 2400.0
168,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.21949519670408688,Adaptive Biweight with first width 2400.0
169,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.410051087868748,Adaptive Biweight with first width 2400.0
170,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.142834906367339,Adaptive Biweight with first width 2400.0
171,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.1962687263813084,Adaptive Biweight with first width 2400.0
172,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.45506884784736,Adaptive Biweight with first width 2400.0
173,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.0564156065704604,Adaptive Biweight with first width 2400.0
174,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.24677367530518074,Adaptive Biweight with first width 2400.0
175,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2585302919563823,Adaptive Biweight with first width 2400.0
176,12000.0,0,0,50,beta,820.4081632653061,100,2.0,1.9870221367722567,Adaptive Biweight with first width 2400.0
177,12000.0,0,0,50,nu,820.4081632653061,100,0.21356046550851748,0.2347445646396809,Adaptive Biweight with first width 2400.0
178,12000.0,0,0,50,alpha,820.4081632653061,100,1.2542418620340698,1.2831563223271378,Adaptive Biweight with first width 2400.0
179,12000.0,0,0,50,beta,820.4081632653061,100,2.0,2.031974431152669,Adaptive Biweight with first width 2400.0
